Item,Quanity,Notes
1/10th scale Traxxas RC cars,2,
1/8th scale RC car brushed,1,
1/8th scale RC car brushless,3,
8-bit do controlers ,6,
AMD RYZEN 3 2200G ,1,
AWS car,3,
AWS track,1,
Crazyflie 2.1 mini drone,1,
Custom drone,1,
Donkey car,1,
F1tenth power board,3,2 out of 3 working. 2 on F1tenth cars
Heat gun,1,
Hokuyo UST-10XL,3,2 out of 3 on F1tenth cars
Intel D435 depth camera ,1,Custom drone
Intel NUC 10i5FNHN,1,F1tenth car
Jetson AGX Orin,2,1 out of 2 currently not functional
Jetson Xavier nx,1,
Moza sim pedals,1,
Moza sim wheel,1,
Pursa mini 3D printer,1,
RPLIDAR,2,
RTX 3050,1,
Spark Fun inventors kit,1,
Vesc 6 MK VI,1,F1tenth car
